    step        time[-]    v_max[-] ItrVP v_div_max[-]  ItrP         r_b     deltaP       avrP     deltaV       avrV
       1   1.562500e-03  0.0000e+00    20   1.1195e-07   570  2.8783e-02  1.904e-07  6.256e-16  5.770e-05  3.329e-09  1.645321e+01
       2   3.125000e-03  3.0826e-07    20   4.4291e-07   570  2.8619e-02  7.143e-07 -4.558e-15  1.180e-04  1.724e-08  1.592812e+01
       3   4.687500e-03  1.5160e-06    20   9.6224e-07   570  2.7999e-02  1.527e-06 -1.687e-14  1.815e-04  5.019e-08  1.576981e+01
       4   6.250000e-03  4.1651e-06    20   1.6150e-06   570  2.6825e-02  2.591e-06 -6.739e-14  2.479e-04  1.116e-07  1.617939e+01
       5   7.812500e-03  8.7522e-06    20   2.3426e-06   570  2.5198e-02  3.832e-06 -4.488e-13  3.163e-04  2.117e-07  1.575750e+01
       6   9.375000e-03  1.5734e-05    20   3.0876e-06   570  2.3264e-02  5.157e-06 -2.997e-13  3.860e-04  3.605e-07  1.576892e+01
       7   1.093750e-02  2.5533e-05    20   3.8074e-06   570  2.1170e-02  6.472e-06  5.714e-13  4.559e-04  5.682e-07  1.575633e+01
       8   1.250000e-02  3.8540e-05    20   4.4615e-06   570  1.9042e-02  7.706e-06  9.101e-13  5.254e-04  8.440e-07  1.577050e+01
       9   1.406250e-02  5.5119e-05    20   5.0470e-06   570  1.6974e-02  8.810e-06  1.321e-12  5.940e-04  1.197e-06  1.582543e+01
      10   1.562500e-02  7.5609e-05    20   5.5472e-06   570  1.5036e-02  9.761e-06  7.040e-13  6.612e-04  1.633e-06  1.578586e+01
      11   1.718750e-02  1.0033e-04    20   5.9865e-06   570  1.3270e-02  1.056e-05 -8.097e-13  7.268e-04  2.161e-06  1.611292e+01
      12   1.875000e-02  1.2956e-04    20   6.3675e-06   570  1.1703e-02  1.122e-05 -1.231e-12  7.907e-04  2.786e-06  1.617671e+01
      13   2.031250e-02  1.6360e-04    20   6.7144e-06   570  1.0342e-02  1.178e-05 -7.954e-13  8.529e-04  3.513e-06  1.603660e+01
      14   2.187500e-02  2.0269e-04    20   7.0357e-06   570  9.1826e-03  1.228e-05  1.393e-12  9.136e-04  4.347e-06  1.588462e+01
      15   2.343750e-02  2.4708e-04    20   7.3481e-06   570  8.2110e-03  1.275e-05 -1.084e-12  9.728e-04  5.293e-06  1.659924e+01
      16   2.500000e-02  2.9698e-04    20   7.6620e-06   570  7.4051e-03  1.321e-05  3.473e-12  1.031e-03  6.355e-06  1.623695e+01
      17   2.656250e-02  3.5261e-04    20   7.9749e-06   570  6.7401e-03  1.370e-05  7.717e-12  1.088e-03  7.537e-06  1.624690e+01
      18   2.812500e-02  4.1417e-04    20   8.2878e-06   570  6.1912e-03  1.421e-05  5.741e-12  1.144e-03  8.845e-06  1.624525e+01
      19   2.968750e-02  4.8182e-04    20   8.6268e-06   570  5.7350e-03  1.475e-05  7.584e-12  1.199e-03  1.028e-05  1.599987e+01
      20   3.125000e-02  5.5575e-04    20   8.9593e-06   570  5.3515e-03  1.533e-05 -3.413e-13  1.254e-03  1.185e-05  1.601501e+01
